skew,kurtosis
0.41286446154785084,-0.40685066033188644
-0.003514976958291024,-1.2038109279028506
0.9571400469829039,-0.22814825132111594
,
0.01655710251921753,-1.223101251796607
-0.03227797319055416,-1.1964118053930861
1.0243546583925869,0.3937168298009439
1.3684185123330814,0.9977379294765711
0.01855884556846042,-1.2149063875748307
1.0254233954371303,0.006100250967981058
0.8202898522796266,-0.303655610360515
,
0.9679912809556104,0.3593164036666212
1.11603155825941,0.9110702861207964
0.5525595985771926,0.48923208120472994
1.7627284034822992,3.918056556094462
0.9164268059808774,0.47171958121354685
1.982264623462895,3.596317950017548
0.8326002906209379,0.16639794960130283
