PATH,FILENAME,SIDE,ANGLE,THROTLE,COMMAND,DATE
./images/f90a4afe-8f35-4f60-9e43-3c9a755e35e7_cent.png,f90a4afe-8f35-4f60-9e43-3c9a755e35e7_cent.png,cent,0,0,c,6/23/2026
./images/f90a4afe-8f35-4f60-9e43-3c9a755e35e7_right.png,f90a4afe-8f35-4f60-9e43-3c9a755e35e7_right.png,right,-0.8,0,c,6/23/2026
./images/f90a4afe-8f35-4f60-9e43-3c9a755e35e7_left.png,f90a4afe-8f35-4f60-9e43-3c9a755e35e7_left.png,left,0.8,0,c,6/23/2026
./images/477e63bd-d8e3-4708-b4c5-5f7b831d845f_cent.png,477e63bd-d8e3-4708-b4c5-5f7b831d845f_cent.png,cent,0,0,c,6/23/2026
./images/477e63bd-d8e3-4708-b4c5-5f7b831d845f_right.png,477e63bd-d8e3-4708-b4c5-5f7b831d845f_right.png,right,-0.8,0,c,6/23/2026
./images/477e63bd-d8e3-4708-b4c5-5f7b831d845f_left.png,477e63bd-d8e3-4708-b4c5-5f7b831d845f_left.png,left,0.8,0,c,6/23/2026
./images/ae562f4e-8fda-4873-9eee-d32478703ee1_cent.png,ae562f4e-8fda-4873-9eee-d32478703ee1_cent.png,cent,0,0,c,6/23/2026
./images/ae562f4e-8fda-4873-9eee-d32478703ee1_right.png,ae562f4e-8fda-4873-9eee-d32478703ee1_right.png,right,-0.8,0,c,6/23/2026
./images/ae562f4e-8fda-4873-9eee-d32478703ee1_left.png,ae562f4e-8fda-4873-9eee-d32478703ee1_left.png,left,0.8,0,c,6/23/2026
./images/49dfe38e-18ba-4f23-bf39-82ca2d355771_cent.png,49dfe38e-18ba-4f23-bf39-82ca2d355771_cent.png,cent,0,0,c,6/23/2026
./images/49dfe38e-18ba-4f23-bf39-82ca2d355771_right.png,49dfe38e-18ba-4f23-bf39-82ca2d355771_right.png,right,-0.8,0,c,6/23/2026
./images/49dfe38e-18ba-4f23-bf39-82ca2d355771_left.png,49dfe38e-18ba-4f23-bf39-82ca2d355771_left.png,left,0.8,0,c,6/23/2026
./images/d8908567-16ed-4ca9-9734-ee91053438cb_cent.png,d8908567-16ed-4ca9-9734-ee91053438cb_cent.png,cent,0,0,c,6/23/2026
./images/d8908567-16ed-4ca9-9734-ee91053438cb_right.png,d8908567-16ed-4ca9-9734-ee91053438cb_right.png,right,-0.8,0,c,6/23/2026
./images/d8908567-16ed-4ca9-9734-ee91053438cb_left.png,d8908567-16ed-4ca9-9734-ee91053438cb_left.png,left,0.8,0,c,6/23/2026
./images/32e81a64-76a3-4a27-8aca-d8cf32746efc_cent.png,32e81a64-76a3-4a27-8aca-d8cf32746efc_cent.png,cent,0,0,c,6/23/2026
./images/32e81a64-76a3-4a27-8aca-d8cf32746efc_right.png,32e81a64-76a3-4a27-8aca-d8cf32746efc_right.png,right,-0.8,0,c,6/23/2026
./images/32e81a64-76a3-4a27-8aca-d8cf32746efc_left.png,32e81a64-76a3-4a27-8aca-d8cf32746efc_left.png,left,0.8,0,c,6/23/2026
./images/52ec592e-305c-4757-8290-cfd716bd285e_cent.png,52ec592e-305c-4757-8290-cfd716bd285e_cent.png,cent,0,0,c,6/23/2026
./images/52ec592e-305c-4757-8290-cfd716bd285e_right.png,52ec592e-305c-4757-8290-cfd716bd285e_right.png,right,-0.8,0,c,6/23/2026
./images/52ec592e-305c-4757-8290-cfd716bd285e_left.png,52ec592e-305c-4757-8290-cfd716bd285e_left.png,left,0.8,0,c,6/23/2026
./images/f0f25ea7-7674-4186-97eb-96236290e6ba_cent.png,f0f25ea7-7674-4186-97eb-96236290e6ba_cent.png,cent,0,0,c,6/23/2026
./images/f0f25ea7-7674-4186-97eb-96236290e6ba_right.png,f0f25ea7-7674-4186-97eb-96236290e6ba_right.png,right,-0.8,0,c,6/23/2026
./images/f0f25ea7-7674-4186-97eb-96236290e6ba_left.png,f0f25ea7-7674-4186-97eb-96236290e6ba_left.png,left,0.8,0,c,6/23/2026
./images/b744c000-a43d-4394-845a-a5d7e6577fc5_cent.png,b744c000-a43d-4394-845a-a5d7e6577fc5_cent.png,cent,0,0,c,6/23/2026
./images/b744c000-a43d-4394-845a-a5d7e6577fc5_right.png,b744c000-a43d-4394-845a-a5d7e6577fc5_right.png,right,-0.8,0,c,6/23/2026
./images/b744c000-a43d-4394-845a-a5d7e6577fc5_left.png,b744c000-a43d-4394-845a-a5d7e6577fc5_left.png,left,0.8,0,c,6/23/2026
./images/53208187-93ce-41ad-a69f-8d7ac6bd8782_cent.png,53208187-93ce-41ad-a69f-8d7ac6bd8782_cent.png,cent,0,0,c,6/23/2026
./images/53208187-93ce-41ad-a69f-8d7ac6bd8782_right.png,53208187-93ce-41ad-a69f-8d7ac6bd8782_right.png,right,-0.8,0,c,6/23/2026
./images/53208187-93ce-41ad-a69f-8d7ac6bd8782_left.png,53208187-93ce-41ad-a69f-8d7ac6bd8782_left.png,left,0.8,0,c,6/23/2026
./images/4bfe128a-ca0d-4478-a9a1-f21cc1d26ee5_cent.png,4bfe128a-ca0d-4478-a9a1-f21cc1d26ee5_cent.png,cent,0,0,c,6/23/2026
./images/4bfe128a-ca0d-4478-a9a1-f21cc1d26ee5_right.png,4bfe128a-ca0d-4478-a9a1-f21cc1d26ee5_right.png,right,-0.8,0,c,6/23/2026
./images/4bfe128a-ca0d-4478-a9a1-f21cc1d26ee5_left.png,4bfe128a-ca0d-4478-a9a1-f21cc1d26ee5_left.png,left,0.8,0,c,6/23/2026
./images/4d9aadd1-84d5-4747-a0fd-a80c45f18c5d_cent.png,4d9aadd1-84d5-4747-a0fd-a80c45f18c5d_cent.png,cent,0,0,c,6/23/2026
./images/4d9aadd1-84d5-4747-a0fd-a80c45f18c5d_right.png,4d9aadd1-84d5-4747-a0fd-a80c45f18c5d_right.png,right,-0.8,0,c,6/23/2026
./images/4d9aadd1-84d5-4747-a0fd-a80c45f18c5d_left.png,4d9aadd1-84d5-4747-a0fd-a80c45f18c5d_left.png,left,0.8,0,c,6/23/2026
./images/f38e5d18-9ce2-4feb-8249-e14604e29b71_cent.png,f38e5d18-9ce2-4feb-8249-e14604e29b71_cent.png,cent,0,0,c,6/23/2026
./images/f38e5d18-9ce2-4feb-8249-e14604e29b71_right.png,f38e5d18-9ce2-4feb-8249-e14604e29b71_right.png,right,-0.8,0,c,6/23/2026
./images/f38e5d18-9ce2-4feb-8249-e14604e29b71_left.png,f38e5d18-9ce2-4feb-8249-e14604e29b71_left.png,left,0.8,0,c,6/23/2026
./images/ae398744-44ab-4597-9ed6-1806d176459e_cent.png,ae398744-44ab-4597-9ed6-1806d176459e_cent.png,cent,0,0,c,6/23/2026
./images/ae398744-44ab-4597-9ed6-1806d176459e_right.png,ae398744-44ab-4597-9ed6-1806d176459e_right.png,right,-0.8,0,c,6/23/2026
./images/ae398744-44ab-4597-9ed6-1806d176459e_left.png,ae398744-44ab-4597-9ed6-1806d176459e_left.png,left,0.8,0,c,6/23/2026
./images/162f7283-8787-4177-bedf-bdf6c0eae5a4_cent.png,162f7283-8787-4177-bedf-bdf6c0eae5a4_cent.png,cent,0,0,c,6/23/2026
./images/162f7283-8787-4177-bedf-bdf6c0eae5a4_right.png,162f7283-8787-4177-bedf-bdf6c0eae5a4_right.png,right,-0.8,0,c,6/23/2026
./images/162f7283-8787-4177-bedf-bdf6c0eae5a4_left.png,162f7283-8787-4177-bedf-bdf6c0eae5a4_left.png,left,0.8,0,c,6/23/2026
./images/c887cca8-f92f-468d-8283-169df4818cfa_cent.png,c887cca8-f92f-468d-8283-169df4818cfa_cent.png,cent,0,0,c,6/23/2026
./images/c887cca8-f92f-468d-8283-169df4818cfa_right.png,c887cca8-f92f-468d-8283-169df4818cfa_right.png,right,-0.8,0,c,6/23/2026
./images/c887cca8-f92f-468d-8283-169df4818cfa_left.png,c887cca8-f92f-468d-8283-169df4818cfa_left.png,left,0.8,0,c,6/23/2026
./images/57004711-75cc-423f-8dc5-b43fe7e73740_cent.png,57004711-75cc-423f-8dc5-b43fe7e73740_cent.png,cent,0,0,c,6/23/2026
./images/57004711-75cc-423f-8dc5-b43fe7e73740_right.png,57004711-75cc-423f-8dc5-b43fe7e73740_right.png,right,-0.8,0,c,6/23/2026
./images/57004711-75cc-423f-8dc5-b43fe7e73740_left.png,57004711-75cc-423f-8dc5-b43fe7e73740_left.png,left,0.8,0,c,6/23/2026
./images/e584cf7c-2ea2-47c9-abf4-d01d70bede3f_cent.png,e584cf7c-2ea2-47c9-abf4-d01d70bede3f_cent.png,cent,0,0,c,6/23/2026
./images/e584cf7c-2ea2-47c9-abf4-d01d70bede3f_right.png,e584cf7c-2ea2-47c9-abf4-d01d70bede3f_right.png,right,-0.8,0,c,6/23/2026
./images/e584cf7c-2ea2-47c9-abf4-d01d70bede3f_left.png,e584cf7c-2ea2-47c9-abf4-d01d70bede3f_left.png,left,0.8,0,c,6/23/2026
./images/866b1489-afa6-40a8-9ed7-1ec7325e8613_cent.png,866b1489-afa6-40a8-9ed7-1ec7325e8613_cent.png,cent,0,0,c,6/23/2026
